date,question,committee
2025-04-16,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo Reglamentas (ES) 2019/631 keičiamas į jį įrašant lankstesnes sąlygas apskaičiuoti, kaip gamintojai laikosi 2025–2027 kalendorinių metų išmetamo CO2 normų, nustatytų naujiems lengviesiems automobiliams ir naujoms lengvosioms komercinėms transporto priemonėms (",Aplinkos apsaugos komitetas
2025-04-16,Dėl Šimkų kaimo bendruomenės skundų dėl aplinkos taršos ir triukšmo Klaipėdos rajone (parlamentinė kontrolė).,Aplinkos apsaugos komitetas
2025-04-16,Dėl reprezentatyviuose miškų plotuose vykdomos veiklos (parlamentinė kontrolė).,Aplinkos apsaugos komitetas
2025-04-16,Nevyriausybinių organizacijų kreipimasis dėl Lietuvos Respublikos Miškų įstatymo naujosios redakcijos projekto ir Lietuvos Respublikos Vyriausybės programos nuostatų įgyvendinimo.,Aplinkos apsaugos komitetas
2025-04-16,Kiti klausimai,Aplinkos apsaugos komitetas
2025-04-09,Posėdžio darbotvarkės tvirtinimas,Aplinkos apsaugos komitetas
2025-04-09,"Žemės įstatymo Nr. I-446 2, 7, 8, 9, 10, 11, 15, 22, 23, 29, 32, 34, 35, 37, 40, 41, 43, 45, 47, 55, 56, 64, 66 straipsnių ir VI-1 skyriaus pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-09,"Teritorijų planavimo įstatymo Nr. I-1120 17, 18, 20, 25, 27, 28, 30, 31, 39 ir 45 straipsnių, septintojo skirsnio pavadinimo pakeitimo ir Įstatymo papildymo 42-1 straipsniu įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-09,"Žemės reformos įstatymo Nr. I-1607 8, 9, 10, 13 ir 19 straipsnių pakeitimo įstatymo projektas",Aplinkos apsaugos komitetas
2025-04-09,Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 X skyriaus antrojo skirsnio pakeitimo įstatymo projektas,Aplinkos apsaugos komitetas
2025-04-09,Klimato kaitos programos 2024 m. lėšų panaudojimo ataskaita (parlamentinė kontrolė),Aplinkos apsaugos komitetas
2025-04-09,Susitikimas su Lietuvos žemės ūkio rūmų atstovais dėl aktualių žemės valdymo ir kitų klausimų.,Aplinkos apsaugos komitetas
2025-04-09,Kiti klausimai,Aplinkos apsaugos komitetas
