date,question,committee,project,responsible,attendees
2025-06-18,"Seimo kontrolierių įstatymo Nr. VIII-950 2, 7, 12, 24 ir 28 straipsnių pakeitimo įstatymo projektas Kviečiami dalyvauti: ​​Ekonomikos ir inovacijų ministerijos, Seimo narys L. Šedvytis, Seimo kontrolierių įstaigos atstovai​",Ekonomikos komitetas,VIII-950,B.  VėsaitėJ.  RojakaV.  FiodorovasI.  Jurkšuvienė,
2025-06-18,Kiti klausimai,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-16,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-16,"Akcinių bendrovių įstatymo Nr. VIII-1835 2, 15, 17, 19, 20, 24, 26, 26-1, 26-2, 28, 31, 32, 33, 34, 38, 39, 42, 45-1, 45-2, 46-1, 49, 51, 52, 53-1, 54, 55, 56, 57,58, 59, 60, 60-1, 74, 76, 77 ir 78 straipsnių pakeitimo ir Įstatymo papildymo 42-1 straipsniu įstatymo projektas Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos atstovai",Ekonomikos komitetas,VIII-1835,A.  NorkienėR.  KaunasD.  Šaltmeris,
2025-06-16,"Investicijų įstatymo Nr. VIII-1312 2, 12, 13, 13-1 straipsnių ir ketvirtojo-2 skirsnio pakeitimo ir Įstatymo papildymo 13-2 straipsniu įstatymo projektas ir lydimieji įstatymų projektai: Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos, Aplinkos ministerijos, Krašto apsaugos ministerijos, Žemės ūkio ministerijos, VšĮ Investuok Lietuvoje, Specialiųjų tyrimų tarnybos, Savivaldybių asociacijos atstovai​",Ekonomikos komitetas,VIII-1312,J.  RojakaA.  BagdonasL.  Jasiukėnienė,
2025-06-16,Pagrindinis (svarstymas),Ekonomikos komitetas,"Teritorijų planavimo įstatymo Nr. I-1120 1, 2, 23 ir 35 straipsnių pakeitimo įstatymo projektas",,
2025-06-16,Pagrindinis (svarstymas),Ekonomikos komitetas,"Žemės įstatymo Nr. I-446 2, 7, 8, 13-1, 23, 37, 42 ir 45 straipsnių pakeitimo įstatymo projektas",,
2025-06-16,Pagrindinis (svarstymas),Ekonomikos komitetas,Statybos įstatymo Nr. I-1240 27 ir 27-2 straipsnių pakeitimo įstatymo projektas,,
2025-06-16,Pagrindinis (svarstymas),Ekonomikos komitetas,Žemės reformos įstatymo Nr. I-1607 13 straipsnio pakeitimo įstatymo projektas,,
2025-06-11,Posėdžio darbotvarkės tvirtinimas,Ekonomikos komitetas,,S.  BucevičiusR.  Danė,
2025-06-11,Transporto veiklos pagrindų įstatymo Nr. I-1863 12 straipsnio pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Susisiekimo ministerijos atstovai,Ekonomikos komitetas,I-1863,I.  GelažnikienėA.  BagdonasD.  Šaltmeris,
