date,question,committee,project,responsible,attendees
2025-04-30,Posėdžio darbotvarkės tvirtinimas,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-04-30,"PASIŪLYMAS DĖL KOMISIJOS IR TARYBOS BENDROS UŽIMTUMO
ATASKAITOS",Socialinių reikalų ir darbo komitetas,"ES-2025-9, COM/2024/701",D.  Aleksejūnienė,
2025-04-30,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-04-23,Posėdžio darbotvarkės tvirtinimas,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-04-23,Socialinių paslaugų įstatymo Nr. X-493 pakeitimo įstatymo Nr. XIV-2357 6 straipsnio pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,X-493; XIV-2357,J.  ZailskienėE.  KirkutisD.  Aleksejūnienė,
2025-04-23,"Valstybės kontrolės 2025-02-20 ataskaita Nr. VRE-2 „Valdžios sektoriaus finansų tvarumo 2025–2050 m. vertinimas""",Socialinių reikalų ir darbo komitetas,VRE-2,D.  Jonėnienė,
2025-04-23,Seimo kanceliarijos Teisės departamento veiklos pristatymas - susitikimas su Seimo Kanceliarijos Teisės departamento​ direktoriumi Dainiumi Zebleckiu,Socialinių reikalų ir darbo komitetas,,,
2025-04-23,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-04-16,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio ir 36-4 straipsnio pakeitimo įstatymo projektas,Socialinių reikalų ir darbo komitetas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,
2025-04-16,Pagrindinis (klausymai),Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Papildomas (klausymai),Socialinių reikalų ir darbo komitetas,"Įtariamųjų, kaltinamųjų ir nuteistųjų registro įstatymo Nr. XI-1503 1 ir 6 straipsnių pakeitimo ir įstatymo papildymo 6-1 straipsniu įstatymo projektas",,
2025-04-16,Papildomas (klausymai),Socialinių reikalų ir darbo komitetas,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Papildomas (klausymai),Socialinių reikalų ir darbo komitetas,Administracinių nusižengimų kodekso 72 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,"Mokslo ir studijų įstatymo Nr. XI-242 8, 72 straipsnių pakeitimo įstatymo projektas",Socialinių reikalų ir darbo komitetas,XI-242,,
2025-04-16,Papildomas (pasirengimas svarstymui),Socialinių reikalų ir darbo komitetas,Darbo kodekso 57 straipsnio pakeitimo įstatymo projektas,,
2025-04-16,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,L.  KukuraitisI.  Kuodienė,
2025-04-02,Posėdžio darbotvarkės tvirtinimas,Socialinių reikalų ir darbo komitetas,,J.  RojakaL.  KukuraitisV.  Aleknavičienė,
2025-04-02,"Dėl vaikų saugumo socialiniuose tinkluose Kviečiami dalyvauti: Kviečiami dalyvauti: Švietimo, mokslo ir sporto ministerijos, Socialinės apsaugos ir darbo ministerijos, Nacionalinio krizių valdymo centro, Policijos departamentas prie Vidaus reikalų ministerijos, Generalinės prokuratūros, Vaiko teisių apsaugos kontrolieriaus įstaigos, Valstybės vaiko teisių ir įvaikinimo tarnyba prie Socialinės apsaugos ir darbo ministerijos, Nacionalinės švietimo agentūros, Lietuvos psichologų sąjungos, Vaikų ir jaunimo psichologų asociacijos, Lietuvos psichiatrų asociacijos, viešosios įstaigos „Vaikų linija“, Lietuvos moksleivių sąjungos, Lietuvos socialinio ir emocinio ugdymo instituto, Nacionalinės švietimo agentūros, Lietuvos neformaliojo švietimo agentūros,  asociacijos „Langas į ateitį”, Ryšių reguliavimo tarnybos, viešosios įstaigos „Skaitmeninės etikos centras“ atstovai​",Socialinių reikalų ir darbo komitetas,,J.  RojakaL.  KukuraitisV.  AleknavičienėJ.  Krumplytė-OženkoA.  KazlauskienėL.  Vingrytė,
2025-04-02,Kiti klausimai,Socialinių reikalų ir darbo komitetas,,J.  RojakaL.  KukuraitisV.  AleknavičienėJ.  Krumplytė-OženkoA.  KazlauskienėL.  Vingrytė,
