date,committee,question,project,responsible,attendees
2025-06-13,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 6, 8, 13, 15, 22, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-10 ir 37 straipsnių pakeitimo ir Įstatymo priedo pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 6, 8 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 7, 29, 30 ir 31 straipsnių pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 4, 5, 6, 22, 29, 30, 32, 33 straipsnių pakeitimo ir papildymo 5-1 straipsniu įstatymo projektas",,
