date,committee,question,project,responsible,attendees
2025-05-14,Aplinkos apsaugos komitetas,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 2, 6, 7, 8, 9, 11, 16, 20, 21, 22, 24, 25, 28, 31, 35, 36, 37, 40, 41, 42, 43, 46, 47, 48, 49, 53, 60, 65, 66, 67, 69, 73, 74, 75, 79, 80, 84, 86, 88, 92, 93, 94, 98, 99, 100, 104, 108, 110, 124, 134, 139, 141 straipsnių,  III skyriaus aštuntojo skirsnio, V skyriaus šeštojo skirsnio pavadinimų ir Įstatymo 2 priedo pakeitimo įstatymo projektas",XIII-2166,L.  JonauskasA.  GedvilienėG.  Ričkutė,
2025-05-14,Aplinkos apsaugos komitetas,Geležinkelių transporto kodekso 19 straipsnio pakeitimo įstatymo projektas,XIVP-3762(2),L.  JonauskasA.  GedvilienėG.  Ričkutė,
2025-05-14,Aplinkos apsaugos komitetas,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 92, 96 straipsnių, VI skyriaus antrojo skirsnio pavadinimo pakeitimo ir 91, 93, 94 straipsnių pripažinimo netekusiais galios įstatymo projektas",XIII-2166,A.  GedvilienėT.  TomilinasG.  Ričkutė,
2025-05-14,Aplinkos apsaugos komitetas,"Žemės įstatymo Nr. I-446 2, 7, 8, 9, 10, 11, 15, 22, 23, 29, 32, 34, 35, 37, 40, 41, 43, 45, 47, 55, 56, 64, 66 straipsnių ir VI-1 skyriaus pakeitimo įstatymo projektas",I-446,T.  DomarkasS.  GentvilasG.  Ričkutė,
2025-05-14,Aplinkos apsaugos komitetas,"Teritorijų planavimo įstatymo Nr. I-1120 6, 17, 18, 20, 23, 25, 27, 28, 30, 31, 33, 35, 39, 45 straipsnių, septintojo skirsnio pavadinimo pakeitimo ir Įstatymo papildymo 42-1 straipsniu įstatymo projektas",I-1120,T.  DomarkasS.  GentvilasG.  Ričkutė,
2025-05-14,Aplinkos apsaugos komitetas,"Žemės reformos įstatymo Nr. I-1607 8, 9, 10, 13 ir 19 straipsnių pakeitimo įstatymo projektas",I-1607,T.  DomarkasS.  GentvilasG.  Ričkutė,
2025-05-14,Aplinkos apsaugos komitetas,"Statybos įstatymo Nr. I-1240 24, 27, 27-1, 27-2, 37 ir 49 straipsnių pakeitimo įstatymo projektas",I-1240,L.  JonauskasA.  GedvilienėB.  Pūtienė,
2025-05-14,Aplinkos apsaugos komitetas,Dėl gamintojo atsakomybės principo taikymo tvarkant automobilių padangas (parlamentinės kontrolės tęsinys),,L.  JonauskasB.  Pūtienė,
2025-05-14,Aplinkos apsaugos komitetas,Kiti klausimai,,L.  JonauskasA.  Latvėnė,
2025-05-07,Aplinkos apsaugos komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  JonauskasA.  Latvėnė,
2025-05-07,Aplinkos apsaugos komitetas,Saugomų teritorijų įstatymo Nr. I-301 34 straipsnio pakeitimo įstatymo projektas,I-301,A.  RadvilavičiusT.  TomilinasA.  GedvilienėL.  GirskienėJ.  Jakučionytė,
2025-05-07,Aplinkos apsaugos komitetas,Energijos vartojimo efektyvumo didinimo įstatymo Nr. XII- 2702 pakeitimo įstatymo projektas (nauja redakcija),XII-,T.  DomarkasD.  AsanavičiūtėR. L.  Matusevičiūtė,
2025-05-07,Aplinkos apsaugos komitetas,Atsinaujinančių išteklių energetikos įstatymo Nr. XI-1375 20-1 straipsnio pakeitimo įstatymo projektas,XI-1375,T.  TomilinasA.  GedvilienėR. L.  Matusevičiūtė,
2025-05-07,Aplinkos apsaugos komitetas,Atliekų tvarkymo įstatymo Nr. VIII-787 pakeitimo įstatymo projektas,VIII-787,A.  MockusL.  GirskienėB.  Pūtienė,
2025-05-07,Aplinkos apsaugos komitetas,Dėl gamintojo atsakomybės principo taikymo tvarkant automobilių padangas (parlamentinė kontrolė),,L.  JonauskasB.  Pūtienė,
2025-05-07,Aplinkos apsaugos komitetas,Kiti klausimai,,L.  JonauskasA.  Latvėnė,
2025-05-06,Aplinkos apsaugos komitetas,"Specialiųjų žemės naudojimo sąlygų įstatymo Nr. XIII-2166 2, 7, 11, 16, 20, 21, 22, 24, 25, 28, 31, 35, 36, 37, 40, 41, 42, 43, 46, 47, 48, 49, 53, 60, 65, 66, 67, 69, 73, 74, 75, 79, 80, 84, 86, 88, 92, 93, 94, 98, 99, 100, 104, 106, 108, 124, 134, 139, 141 straipsnių,  III skyriaus aštuntojo skirsnio ir V skyriaus šeštojo skirsnio pavadinimų pakeitimo įstatymo projektas",XIII-2166,L.  JonauskasA.  GedvilienėG.  Ričkutė,
2025-05-06,Aplinkos apsaugos komitetas,"Žemės reformos įstatymo Nr. I-1607 8, 9, 10, 13 ir 19 straipsnių pakeitimo įstatymo projektas",I-1607,T.  DomarkasS.  GentvilasG.  Ričkutė,
2025-04-30,Aplinkos apsaugos komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  JonauskasA.  Latvėnė,
2025-04-30,Aplinkos apsaugos komitetas,"Melioracijos įstatymo Nr. I-323 2, 7, 9 straipsnių pakeitimo ir Įstatymo papildymo VI skyriumi įstatymo projektas",I-323,T.  TomilinasL.  GirskienėG.  Ričkutė,
2025-04-30,Aplinkos apsaugos komitetas,"Aplinkos ministerijos ir UAB ""Vilniaus apskrities atliekų tvarkymo centro"" pozicija dėl Kazokiškių sąvartyno veiklos (parlamentinės kontrolės tęsinys)",,L.  JonauskasK.  VilkauskasB.  Pūtienė,
2025-04-30,Aplinkos apsaugos komitetas,Dėl ESO savarankiškų tvarkų projektavimo procesuose (parlamentinė kontrolė),,S.  GentvilasG.  Ričkutė,
2025-04-30,Aplinkos apsaugos komitetas,"Dėl Komitete gautų raštų, susijusių su miškų ūkio problemomis",,A.  RadvilavičiusJ.  Jakučionytė,
2025-04-30,Aplinkos apsaugos komitetas,"Dėl gaisro atliekų tvarkymo gamykloje, Vilniuje, Jočionių g.",,L.  JonauskasA.  Latvėnė,
2025-04-30,Aplinkos apsaugos komitetas,Kiti klausimai,,L.  JonauskasA.  Latvėnė,
